StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,screen_US,screen_age,screen_attention,screen_time_First Click,screen_time_Last Click,screen_time_Page Submit,screen_time_Click Count,Q0_consent_exempt,Q0_time_First Click,Q0_time_Last Click,Q0_time_Page Submit,Q0_time_Click Count,Q61,age,gender,zodiac,party,edu,demo_time_First Click,demo_time_Last Click,demo_time_Page Submit,demo_time_Click Count,Q0_overview_time_First Click,Q0_overview_time_Last Click,Q0_overview_time_Page Submit,Q0_overview_time_Click Count,Q1_instructions_time_First Click,Q1_instructions_time_Last Click,Q1_instructions_time_Page Submit,Q1_instructions_time_Click Count,Q1_median,Q1_median_time_First Click,Q1_median_time_Last Click,Q1_median_time_Page Submit,Q1_median_time_Click Count,Q1_question,Q1_question_time_First Click,Q1_question_time_Last Click,Q1_question_time_Page Submit,Q1_question_time_Click Count,Q1_news_instr_time_First Click,Q1_news_instr_time_Last Click,Q1_news_instr_time_Page Submit,Q1_news_instr_time_Click Count,Q1_news,Q1_news_time_First Click,Q1_news_time_Last Click,Q1_news_time_Page Submit,Q1_news_time_Click Count,q2_median,q2_median_time_First Click,q2_median_time_Last Click,q2_median_time_Page Submit,q2_median_time_Click Count,q2_news,q2_news_time_First Click,q2_news_time_Last Click,q2_news_time_Page Submit,q2_news_time_Click Count,q3_median,q3_median_time_First Click,q3_median_time_Last Click,q3_median_time_Page Submit,q3_median_time_Click Count,q3_news,q3_news_time_First Click,q3_news_time_Last Click,q3_news_time_Page Submit,q3_news_time_Click Count,attention_check,attention_check_time_First Click,attention_check_time_Last Click,attention_check_time_Page Submit,attention_check_time_Click Count,moreas_politics,moreas_perf,moreas_goodnews,moreas_time_First Click,moreas_time_Last Click,moreas_time_Page Submit,moreas_time_Click Count,happy_politics,happy_perf,happy_goodnews,happy_time_First Click,happy_time_Last Click,happy_time_Page Submit,happy_time_Click Count,study_guess,study_truefalse,likert_q_1,likert_q_2,likert_q_3,happy7_1,Q64,study_time_First Click,study_time_Last Click,study_time_Page Submit,study_time_Click Count,moreas_politics,moreas_goodnews,moreas_performance,SC0,PROLIFIC_PID,STUDY_ID,SESSION_ID,N_questions,aries,taurus,gemini,cancer,leo,virgo,libra,scorpio,sagittarius,capricorn,aquarius,pisces,news1,news2,news3,news4,bonus_high,bonus_low,bonus_people,screening_check,consent,n_question,attention_check
5/31/25 15:52,5/31/25 16:01,IP Address,172.56.222.156,100,570,TRUE,5/31/25 16:01,R_54eecxHdtqftdag,,,,,40.0149,-75.1439,anonymous,EN,Yes,Yes,Yes,4.66,8.913,9.48,4,I consent,0.712,3.628,4.1,6,5f79bca83a2eb65c0983816d,36,Male,Pisces (born between Feb 19 – Mar 20),Weakly Democratic,"High school graduate, diploma, or equivalent (such as GED)",0.613,32.108,32.542,14,10.888,17.786,27.4,3,18.88,55.151,55.937,4,5 (the median of these numbers),31.584,31.584,34.028,1,74,23.642,23.642,28.938,1,28.703,60.957,63.592,13,8/10 chance it is True News; 2/10 chance it is False News,3.834,22.025,22.622,10,30,11.968,21.782,24.691,3,5/10 chance it is True News; 5/10 chance it is False News,4.004,19.049,19.667,13,70,15.172,15.172,20.213,1,5/10 chance it is True News; 5/10 chance it is False News,0.776,4.265,5.084,5,2025,18.584,18.584,23.036,1,,,,,,,,Slightly happier if it said the answer was further in the direction of their political party,Slightly happier if it said that they performed better on this task,Slightly happier if it said that the world was a better place,1.431,42.056,43.189,32,I had no idea of the answers so I completely just guessed ,I didn't know so to ne it was 50 50,Strongly disagree,Strongly disagree,Strongly disagree,Very happy,apple,1.667,75.178,82.424,20,That the answer was further in the direction of their political party than they initially believed,That the world was a better place than they initially believed,That they performed better on this task than they initially believed,,5f79bca83a2eb65c0983816d,683b153805393e0fba20ff8a,683b178dbf063306ad5dda09,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,greater than,less than,greater than,less than,$50 ,$5 ,10,,,4,1
5/31/25 15:52,5/31/25 16:04,IP Address,104.50.229.57,100,732,TRUE,5/31/25 16:04,R_54u5xP1UmSETP8l,,,,,30.6333,-88.1523,anonymous,EN,Yes,Yes,Yes,1.295,3.587,4.772,4,I consent,1.157,2.879,3.785,3,66337d1de3bea5025f371c0b,43,Female,Taurus (born between Apr 20 – May 20),Strongly Republican,"High school graduate, diploma, or equivalent (such as GED)",1.652,20.676,22.15,13,0,0,33.192,0,37.953,37.953,61.961,1,5 (the median of these numbers),17.551,17.551,19.814,1,60,28.258,28.258,36.348,1,35.94,77.832,79.925,4,5/10 chance it is True News; 5/10 chance it is False News,18.055,28.468,29.519,5,35,35.064,46.771,47.684,2,5/10 chance it is True News; 5/10 chance it is False News,1.231,4.737,5.699,4,50,23.49,23.49,26.627,1,5/10 chance it is True News; 5/10 chance it is False News,3.645,8.901,9.983,6,2025,17.827,17.827,21.802,1,More likely to think their message came from True News if it said the answer was further in the direction of their political party,About equally likely for both directions,More likely to think their message came from True News if it said that the world was a worse place,17.714,90.776,92.582,10,,,,,,,,I made my best guess to the answers but actually had no clue what those answers were. Therefore I had no clue if the news was true of false to I picked in the middle.,I had no idea. There was nothing that tipped me off.,Strongly disagree,Strongly disagree,Strongly disagree,Very happy,apple,13.615,146.497,151.708,11,That the answer was further in the direction of their political party than they initially believed,That the world was a worse place than they initially believed,About the same in both directions,,66337d1de3bea5025f371c0b,683b153805393e0fba20ff8a,683b17a5d8cc99dda2ef8aba,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,greater than,less than,less than,greater than,$50 ,$5 ,10,,,4,1
5/31/25 15:52,5/31/25 16:12,IP Address,168.235.144.107,100,1195,TRUE,5/31/25 16:12,R_75FqvDubOHHPAH1,,,,,33.9558,-118.3893,anonymous,EN,Yes,Yes,Yes,3.375,6.137,8.222,5,I consent,6.269,10.162,11.068,4,67fc6e08e2aed442d70438d3,66,Male,Virgo (born between Aug 23 – Sep 22),Strongly Republican,Postgraduate or professional degree,2.052,166.284,167.056,18,24.293,27.304,27.945,4,31.805,66.952,72.707,6,5 (the median of these numbers),16.194,95.955,98.22,6,300,36.25,54.285,65.423,2,15.164,15.164,22.974,1,10/10 chance it is True News; 0/10 chance it is False News,40.918,40.918,43.35,1,46,41.024,41.024,46.394,1,0/10 chance it is True News; 10/10 chance it is False News,27.132,27.132,30.886,1,39,30.017,30.017,42.5,1,0/10 chance it is True News; 10/10 chance it is False News,24.783,24.783,30.779,1,2025,22.446,47.814,60.389,3,,,,,,,,Much happier if it said the answer was further in the direction of their political party,Much happier if it said that they performed better on this task,Much happier if it said that the world was a better place,30.349,88.582,92.154,5,i based each guess on reliable up to date data and logical reasoning ,i focused on credibility and consistency ,Agree,Strongly agree,Strongly agree,Completely happy,apple,65.604,207.038,211.764,9,That the answer was further in the direction of their political party than they initially believed,That the world was a better place than they initially believed,That they performed better on this task than they initially believed,,67fc6e08e2aed442d70438d3,683b153805393e0fba20ff8a,683b1790285beeef45f6059c,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,less than,greater than,less than,greater than,$50 ,$5 ,10,,,4,1
5/31/25 15:58,5/31/25 16:13,IP Address,66.66.144.126,100,877,TRUE,5/31/25 16:13,R_5QPGbHYNR5TKnKj,,,,,43.2206,-77.5992,anonymous,EN,Yes,Yes,Yes,1.341,3.126,4.115,3,I consent,1.899,1.899,2.646,1,63ed1fa5c88ecae92bf0c920,41,Male,Capricorn (born between Dec 22 – Jan 19),Weakly Democratic,"Began college, no degree",0.642,11.433,13.273,5,0,0,33.053,0,95.353,95.353,112.399,1,5 (the median of these numbers),31.235,38.931,41.133,2,375,2.84,2.84,38.908,1,0,0,55.834,0,9/10 chance it is True News; 1/10 chance it is False News,31.691,44.898,45.661,2,35,1.45,36.031,45.622,2,3/10 chance it is True News; 7/10 chance it is False News,4.149,10.742,18.786,2,30,2.024,14.348,16.765,2,4/10 chance it is True News; 6/10 chance it is False News,31.168,34.003,52.567,2,2025,1.524,1.524,25.397,1,More likely to think their message came from True News if it said the answer was further in the direction of the opposing political party,About equally likely for both directions,More likely to think their message came from True News if it said that the world was a worse place,18.769,41.219,47.252,3,,,,,,,,"For questions like the population one, I just tried to guess based on the numbers I remembered from the past. The rest of the questions I just tried to make an estimate that I thought was in the range.","I made the decisions based on what I thought was true. For example, the question about happiness. I made an estimate that I thought was pretty low. When the result said that the actual answer was even lower I figured it was probably false news.",Neither agree nor disagree,Strongly disagree,Strongly disagree,Fairly happy,apple,1.215,180.622,201.797,8,About the same in both directions,That the world was a worse place than they initially believed,That they performed worse on this task than they initially believed,,63ed1fa5c88ecae92bf0c920,683b153805393e0fba20ff8a,683b190ed86d736553d36a58,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,less than,less than,less than,greater than,$50 ,$5 ,10,,,4,1
5/31/25 15:52,5/31/25 16:13,IP Address,23.153.64.231,100,1275,TRUE,5/31/25 16:13,R_7aqzTmHEDdp9E5H,,,,,37.751,-97.822,anonymous,EN,Yes,Yes,Yes,1.302,4.165,6.829,3,I consent,1.579,1.579,2.335,1,67d87d85d3ae2736a4eb9c34,24,Female,Leo (born between Jul 23 – Aug 22),Weakly Democratic,Bachelor's degree,1.021,38.792,43.101,9,24.901,24.901,38.249,1,5.298,135.763,137.129,10,5 (the median of these numbers),23.544,127.579,128.749,6,320,6.89,16.976,36.316,2,51.891,90.869,91.4,6,2/10 chance it is True News; 8/10 chance it is False News,12.945,66.2,68.822,5,46,10.096,21.082,43.472,3,7/10 chance it is True News; 3/10 chance it is False News,4.722,37.739,39.293,5,38,3.204,16.039,25.037,3,8/10 chance it is True News; 2/10 chance it is False News,3.778,18.491,19.501,3,2025,4.386,43.324,44.027,7,More likely to think their message came from True News if it said the answer was further in the direction of their political party,More likely to think their message came from True News if it said that they performed better on this task,More likely to think their message came from True News if it said that the world was a better place,12.326,118.457,119.747,5,,,,,,,,"I based my guesses on what felt most reasonable or average given what I know. For the population, I picked a recent estimate close to current trends. For happiness by zodiac, I guessed slightly above average. For the geographic topic, I just made a guess.","I compared the news messages to what I know or what seemed reasonable. If the message matched what I expected, I leaned toward true news. If it didn’t fit or contradicted what I thought, I guessed it was more likely false news. Just went with what felt more believable.",Strongly disagree,Disagree,Disagree,Very happy,apple,9.135,231.372,241.959,22,That the answer was further in the direction of their political party than they initially believed,That the world was a better place than they initially believed,That they performed better on this task than they initially believed,,67d87d85d3ae2736a4eb9c34,683b153805393e0fba20ff8a,683b17816a8fe75aeb0f8c1b,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,less than,greater than,greater than,less than,$50 ,$5 ,10,,,4,1
5/31/25 15:54,5/31/25 16:14,IP Address,184.15.168.23,100,1184,TRUE,5/31/25 16:14,R_7iCIRsDdydveRdj,,,,,39.494,-80.2221,anonymous,EN,Yes,Yes,Yes,0.601,4.12,5.201,6,I consent,1.125,5.751,6.274,9,669400c29b4991c317169114,22,Male,Pisces (born between Feb 19 – Mar 20),Strongly Republican,"High school graduate, diploma, or equivalent (such as GED)",0.766,21.666,22.101,19,35.377,35.377,43.475,1,0.901,68.874,103.974,21,5 (the median of these numbers),4.63,33.249,35.088,4,340,28.868,228.872,232.78,14,7.803,64.92,68.476,5,10/10 chance it is True News; 0/10 chance it is False News,9.099,37.413,39.081,9,45,3.586,57.712,58.485,5,0/10 chance it is True News; 10/10 chance it is False News,1.644,25.04,26.126,9,45,88.619,156.604,190.484,3,5/10 chance it is True News; 5/10 chance it is False News,2.674,18.263,19.964,6,2025,74.891,82.375,83.386,3,More likely to think their message came from True News if it said the answer was further in the direction of their political party,About equally likely for both directions,About equally likely for both directions,6.536,46.186,47.231,13,,,,,,,,I just like just thought and just took a hard thought process And try to get every answer right,Some of them they knew On some of them I didn't,Strongly agree,Neither agree nor disagree,Strongly agree,Completely happy,apple,15.338,85.914,92.85,15,About the same in both directions,That the world was a worse place than they initially believed,About the same in both directions,,669400c29b4991c317169114,683b153805393e0fba20ff8a,683b182f7780e3659daec1a6,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,greater than,less than,less than,greater than,$50 ,$5 ,10,,,4,1
5/31/25 16:02,5/31/25 16:15,IP Address,75.26.217.163,100,798,TRUE,5/31/25 16:15,R_1g0islXZLMLPWYn,,,,,25.4572,-80.4587,anonymous,EN,Yes,Yes,Yes,15.897,20.988,26.512,4,I consent,5.854,8.301,9.404,2,5c1b9212bfd9220001a9ada0,33,Male,Cancer (born between Jun 21 – Jul 22),Strongly Republican,Bachelor's degree,1.325,93.967,95.104,7,0,0,12.197,0,8.411,16.085,40.957,2,5 (the median of these numbers),1.484,87.029,91.547,6,300,12.233,12.233,27.801,1,1.227,127.339,162.774,12,8/10 chance it is True News; 2/10 chance it is False News,19.06,19.06,21.055,1,40,22.06,22.06,29.391,1,6/10 chance it is True News; 4/10 chance it is False News,4.027,4.027,5.841,1,30,1.727,1.727,24.832,1,8/10 chance it is True News; 2/10 chance it is False News,3.932,3.932,5.97,1,2025,1.577,1.577,20.869,1,,,,,,,,Much happier if it said the answer was further in the direction of their political party,Much happier if it said that they performed better on this task,Much happier if it said that the world was a better place,1.76,61.455,63.414,4,I tried to answer with the median value of the range of values the question provided.,I just guessed.,Strongly disagree,Strongly disagree,Strongly disagree,Very happy,apple,1.431,69.082,72.562,12,About the same in both directions,That the world was a better place than they initially believed,About the same in both directions,,5c1b9212bfd9220001a9ada0,683b153805393e0fba20ff8a,683b17c1b4c6622b18dbcbcc,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,greater than,greater than,greater than,less than,$50 ,$5 ,10,,,4,1
5/31/25 15:55,5/31/25 16:16,IP Address,23.153.64.166,100,1223,TRUE,5/31/25 16:16,R_1L0xLhyHr1Q1izS,,,,,37.751,-97.822,anonymous,EN,Yes,Yes,Yes,1.732,13.852,14.924,4,I consent,5.157,5.157,5.961,1,67d72e56bfef3906846145ae,28,Female,Libra (born between Sep 23 – Oct 22),Weakly Republican,Postgraduate or professional degree,0.854,34.798,35.689,10,0,0,83.087,0,0,0,84.001,0,5 (the median of these numbers),19.806,22.243,24.271,2,300,15.782,15.782,25.633,1,0,0,112.191,0,4/10 chance it is True News; 6/10 chance it is False News,62.441,62.441,63.853,1,50,39.449,39.449,48.676,1,6/10 chance it is True News; 4/10 chance it is False News,19.059,19.059,21.024,1,45,29.644,29.644,41.163,1,5/10 chance it is True News; 5/10 chance it is False News,6.854,6.854,7.812,1,2025,29.527,29.527,40.473,1,,,,,,,,About equally happy for both directions,Much happier if it said that they performed better on this task,Much happier if it said that the world was a better place,78.087,140.601,142.141,5,I simply relied on intution since for some of the questions it was almost impossible to have a definite answer based on any sort of facts,"These were pure guesses, no strategy",Strongly disagree,Strongly disagree,Strongly disagree,Fairly happy,apple,14.72,134.722,143.744,10,That the answer was further in the direction of their political party than they initially believed,That the world was a better place than they initially believed,That they performed better on this task than they initially believed,,67d72e56bfef3906846145ae,683b153805393e0fba20ff8a,683b18724742cb8165eb90b7,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,less than,greater than,greater than,less than,$50 ,$5 ,10,,,4,1
5/31/25 15:58,5/31/25 16:18,IP Address,102.89.68.27,100,1190,TRUE,5/31/25 16:18,R_1IQf6FAfBbNtKl3,,,,,41.7697,-87.6985,anonymous,EN,Yes,Yes,Yes,0.907,2.849,5.24,3,I consent,2.228,2.228,3.295,1,677da382fc987131e4405470,55,Male,Aries (born between Mar 21 – Apr 19),Strongly Democratic,Bachelor's degree,1.055,77.928,79.63,5,0,0,30.75,0,3.517,3.517,71.814,1,5 (the median of these numbers),20.851,38.816,42.002,2,5,33.701,33.701,43.877,1,3.913,21.947,42.637,2,5/10 chance it is True News; 5/10 chance it is False News,50.442,50.442,60.511,1,50,51.897,51.897,77.954,1,7/10 chance it is True News; 3/10 chance it is False News,3.929,3.929,5.698,1,40,2.382,2.382,77.693,1,5/10 chance it is True News; 5/10 chance it is False News,4.14,4.14,5.757,1,2025,50.804,50.804,70.64,1,,,,,,,,Much happier if it said the answer was further in the direction of their political party,About equally happy for both directions,Slightly happier if it said that the world was a better place,90.188,193.866,195.913,3,I made my choices following the instructions that was giving to me,I made my choices following the instructions that was giving to me,Agree,Agree,Disagree,Very happy,apple,18.641,200.681,204.074,8,That the answer was further in the direction of their political party than they initially believed,That the world was a better place than they initially believed,That they performed better on this task than they initially believed,,677da382fc987131e4405470,683b153805393e0fba20ff8a,683b17bf049118d0b3cf6ace,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,greater than,less than,less than,greater than,$50 ,$5 ,10,,,4,1
5/31/25 15:57,5/31/25 16:21,IP Address,73.234.31.254,100,1426,TRUE,5/31/25 16:21,R_3yTdHQBKSF2JKA9,,,,,42.2598,-72.2398,anonymous,EN,Yes,Yes,Yes,1.392,2.735,5.439,3,I consent,0.98,2.513,3.247,3,66116b936273edeae82eb481,45,Female,Scorpio (born between Oct 23 – Nov 21),Strongly Republican,Bachelor's degree,1.184,24.462,25.757,17,0,0,24.815,0,46.181,46.181,47.23,1,5 (the median of these numbers),4.185,4.185,7.447,1,345,29.05,69.92,70.205,7,20.075,40.407,42.402,4,2/10 chance it is True News; 8/10 chance it is False News,3.498,32.253,33.228,7,65,13.742,13.742,16.484,1,8/10 chance it is True News; 2/10 chance it is False News,1.933,10.933,12.01,7,39,12.334,59.349,64.52,4,5/10 chance it is True News; 5/10 chance it is False News,3.016,9.048,9.874,4,2025,20.597,20.597,25.884,1,More likely to think their message came from True News if it said the answer was further in the direction of the opposing political party,More likely to think their message came from True News if it said that they performed better on this task,More likely to think their message came from True News if it said that the world was a better place,30.051,58.903,60.196,9,,,,,,,,"I had little to no knowledge in most of the questions asked, I just used reasoning from other bits of information I had read a long time ago and tried to adjust it to be as close as possible. For example, whenasked the population of the United States, I know it was jus over 320 million like 8 years ago, so I tried to adjust by adding a few million to come as close to the real answer as possible.","For this, I just took a wild guess to be honest.",Strongly disagree,Disagree,Disagree,Very happy,apple,9.467,184.511,187.227,17,That the answer was further in the direction of their political party than they initially believed,About the same in both directions,That they performed better on this task than they initially believed,,66116b936273edeae82eb481,683b153805393e0fba20ff8a,683b17ecb4c6622b18dbcbd5,4,46.12,42.86,43.7,45.64,44.35,46.07,47.34,41.94,45.31,46.6,49.32,46.88,less than,greater than,greater than,less than,$50 ,$5 ,10,,,4,1
